student_id,name,attendance,study_hours,assignments_completed,assignments_total,internal_marks,previous_percentage,participation,at_risk
1001,Student_1,81.0,4.9,10,10,32.4,57.9,76.4,0
1002,Student_2,73.3,6.4,9,10,23.1,65.8,84.4,0
1003,Student_3,82.8,1.4,8,10,21.3,56.1,58.4,0
1004,Student_4,93.3,4.3,6,10,27.0,63.4,52.8,1
1005,Student_5,72.2,2.5,9,10,25.8,39.6,43.3,0
1006,Student_6,72.2,2.8,8,10,23.8,71.2,48.5,0
1007,Student_7,94.0,2.6,9,10,31.9,68.0,100.0,0
1008,Student_8,84.2,2.2,9,10,33.7,55.7,89.9,0
1009,Student_9,69.4,3.6,10,10,27.6,77.9,38.0,1
1010,Student_10,81.5,2.3,6,10,37.3,82.1,38.6,0
1011,Student_11,69.4,3.9,10,10,19.0,43.9,74.6,1
1012,Student_12,69.4,3.4,8,10,25.6,56.6,75.9,1
1013,Student_13,77.9,3.1,10,10,22.0,56.5,76.0,0
1014,Student_14,52.0,2.1,6,10,13.9,53.9,59.9,1
1015,Student_15,54.3,2.6,10,10,26.4,80.4,62.5,0
1016,Student_16,68.3,4.6,8,10,26.1,65.1,71.6,1
1017,Student_17,62.8,4.3,6,10,37.6,64.0,66.7,0
1018,Student_18,78.8,2.0,7,10,31.4,37.9,20.6,0
1019,Student_19,64.1,3.6,7,10,19.8,77.5,60.4,0
1020,Student_20,58.1,4.6,8,10,40.0,49.4,48.0,1
1021,Student_21,92.6,1.0,9,10,35.5,68.9,68.5,0
1022,Student_22,72.3,4.3,6,10,31.1,72.2,100.0,0
1023,Student_23,75.8,2.5,7,10,25.4,88.4,72.3,0
1024,Student_24,57.9,4.4,10,10,20.3,48.4,58.7,1
1025,Student_25,68.5,2.4,10,10,24.4,30.0,83.4,0
1026,Student_26,76.3,0.8,8,10,34.6,70.8,74.7,0
1027,Student_27,61.2,1.1,8,10,40.0,95.0,73.4,0
1028,Student_28,79.5,3.6,8,10,37.8,86.6,77.1,0
1029,Student_29,67.8,3.9,9,10,23.6,71.1,100.0,0
1030,Student_30,71.5,2.1,5,10,19.2,60.6,42.4,1
1031,Student_31,67.8,4.5,7,10,28.0,80.1,74.5,0
1032,Student_32,97.2,1.0,4,10,14.6,53.4,46.5,1
1033,Student_33,74.8,3.4,8,10,29.3,75.1,76.1,0
1034,Student_34,62.3,1.7,9,10,26.0,75.6,46.6,0
1035,Student_35,84.9,2.5,7,10,23.7,83.9,56.7,0
1036,Student_36,60.3,3.6,10,10,15.8,100.0,59.1,0
1037,Student_37,77.5,2.2,5,10,30.6,73.9,84.5,1
1038,Student_38,51.5,2.9,5,10,23.3,60.4,83.4,1
1039,Student_39,59.1,5.0,8,10,18.8,67.6,40.1,0
1040,Student_40,77.4,2.6,10,10,6.9,41.5,66.1,1
1041,Student_41,83.9,4.8,10,10,26.8,57.6,50.8,0
1042,Student_42,77.1,1.8,7,10,39.4,61.9,39.8,1
1043,Student_43,73.6,4.3,10,10,38.6,60.1,60.7,0
1044,Student_44,71.4,5.7,7,10,23.8,70.3,58.8,0
1045,Student_45,57.3,0.5,7,10,22.8,55.7,100.0,1
1046,Student_46,66.4,2.3,9,10,30.3,84.8,73.7,0
1047,Student_47,69.5,4.4,9,10,20.0,68.0,37.4,1
1048,Student_48,87.7,3.2,4,10,29.1,67.9,53.7,0
1049,Student_49,79.1,4.1,10,10,32.4,63.1,85.4,0
